"","Groups","(2E,6Z)-nona-2,6-dienal Area","(3Z)-3-Hexenyl acetate Area","(E)-2-Nonenal Area","(E)-2-Octen-1-ol Area","(E)-2-Pentenal Area","(E)-Linalool oxide Area","(E,E)-2,4-nonadienal Area","(Z)-2-Penten-1-ol Area","(Z)-4-Heptenal Area","(Z)-Linalool oxide Area","(Z)-beta-Ocimene Area","(Z)-hex-2-en-1-ol Area","1-Butanol Area","1-Heptanol Area","1-Hexanol Area","1-Hexen-3-one Area","1-Nonanol Area","1-Octen-3-ol Area","1-Octen-3-one Area","1-Pentanol Area","2,4-Heptadienal Area","2,4-Hexadienal Area","2,6-Nonadienol Area","2-Acetylpyrrole Area","2-Ethylfuran Area","2-Heptanol Area","2-Heptanone Area","2-Hexanone Area","2-Methyl-1-butanol Area","2-Methylbutyl acetate Area","2-Methylpentan-2-ol Area","2-Nonanol Area","2-Pentanol Area","2-Pentanone Area","2-Pentylfuran Area","3-Hexanone Area","3-Mercapto-3-methylbutyl formate Area","3-Methyl-2-butanone Area","3-Methyl-2-buten-1-ol Area","3-Methyl-3-butenyl acetate Area","3-Octanone Area","3-Pentanol Area","3-Pentanone Area","4-Ethylphenol Area","6-Methoxyeugenol Area","6-Methyl-5-hepten-2-one Area","Acetal Area","Acetoin Area","Acetophenone Area","Allyl isothiocyanate Area","Benzaldehyde Area","Butyl 2-methylbutyrate Area","Butyl acetate Area","Butyl decanoate Area","Butyl hexanoate Area","Butyric acid Area","Dihydrocarveol Area","Ethyl 2-methylbutyrate Area","Ethyl 3-methylbutanoate Area","Ethyl benzoate Area","Ethyl butanoate Area","Ethyl isobutyrate Area","Ethyl lactate Area","Ethyl laurate Area","Ethyl octanoate Area","Ethyl stearate Area","Ethyl valerate Area","Ethyl vinyl ketone Area","Eugenol Area","Geranyl butyrate Area","Geranyl isovalerate Area","Guaiacol Area","Heptanal Area","Heptyl acetate Area","Hexanal Area","Hexyl acetate Area","Hexyl butyrate Area","Isoamyl acetate Area","Isoamyl alcohol Area","Isoamyl butyrate Area","Isobutyric acid Area","Isopropyl hexanoate Area","Methyl 2-methylbutyrate Area","Methyl hexanoate Area","Methyl isobutyl ketone Area","Methyl isovalerate Area","Neodihydrocarveol Area","Neryl acetate Area","Nonyl acetate Area","Octyl acetate Area","Pentyl acetate Area","Pentyl butyrate Area","Phenylacetaldehyde Area","Propanoic acid Area","Propyl acetate Area","Propyl butyrate Area","Propyl hexanoate Area","Tetradecanal Area","Tetrahydrothiophene Area","alpha-Pinene Area","alpha-Thujone Area","beta-Pinene Area","cis-3-Hexen-1-ol Area","gamma-Terpinene Area","gamma-Undecalactone Area","trans-2-Heptenal Area","trans-2-Hexen-1-ol Area","trans-2-Hexenal Area","trans-2-Penten-1-ol Area"
"Green_Banana_1","Green","364006","302","138924","1186","2641","277","11345","2552","397","748","49487","14968","1341","27352","1294054","8306","24511","1850","3221","8420","3153","5044","215177","351","1224","1382","188",NA,"1310","7485",NA,"535",NA,NA,"66723",NA,"12600",NA,NA,NA,"3969","291","854","8932",NA,"544","5208","1019","1349",NA,"6696","1067",NA,"365","167",NA,"554",NA,"3781","1123","906656",NA,NA,"451","2958","1722",NA,"4285","389","230",NA,"856","11966","101437","3394910","1617","1755","7523","1122","76242",NA,NA,NA,"569",NA,NA,"670","119","132","2587","177","495","8291",NA,NA,"3274","414",NA,NA,"1220","133","1289",NA,"28341","265","341173","14958","5177701","2525"
"Ripe_Banana_3","Ripe","164244","14646","16896","21020",NA,NA,"520","30701","20645","633","10714","73295","163333","40432","325827","3641","142","192","6331","5013","667","5198","24493",NA,"981","32536","178383","8061","2066603","42191315","5338","194353","98645","1241760","2293","2951527","141263","2644","2953229","15646","5236","902","733221","1355","859","439",NA,"103667","30749","4975","48235","112024","1081266","4804","29516","35013",NA,"16673","299467","1427","1795905","4889","1885","1366","1281","1678","2498","693","27024","1395","1624","1272","6179","34185902","769130","81577","525585","41724431","2068837","40088281","378","596",NA,NA,"1281","1275401",NA,"2902","21855","271830","16493","3226","7629","1210","64190","108385","2381","1884","591549",NA,"1791",NA,"4676","1921","1786","14906","73538","3103215","30374"
"Overripe_Banana_2","Overripe","32980","2007","4662","38412",NA,"311","82","1685","1518","536","5659","2483","1116693","10583","544094","14165","1436",NA,"3982","13920","74","169","2261",NA,NA,"268418","60713","2183","10712407","2957577","31209","294069","195924","396700","916","152578","33077","1158","160174",NA,"3119","686","229430","683","3543","350","760","218975","42866","328","13840","174474","36457","832","3579","1694",NA,"123751","1422444","2790","1718046","7547",NA,"7052","7668","1911","1884",NA,"155085","3759","2350","9978","94037","46338027","3057","2010","93761","2817153","10728543","15724015","3270","4411","644",NA,"3063","96534",NA,"16568","11834","199099","728","1801","1873","8137","1706","3308","329","2566","587013",NA,"1663",NA,"10197","9624","2480","3680","2465","120693","1570"
"Green_Banana_4","Green","190016","1144","146320","1077","2451","611","33169","2416","210","978","14048","21324","5353","77042","3552653","15179","43411","4484","3509","15465","11451","2235","243003","358","2642","3091","451",NA,"23120","12637",NA,"861",NA,"1159","296045",NA,"399",NA,NA,NA,"26844","358","396","9991",NA,"993","1644","2319","2326",NA,"36779","2070",NA,"387","252",NA,"1956",NA,"3815","778","784701",NA,NA,"722","3118","1023","557","3980","13146","441",NA,"2069","36544","2678939","2906745","15063","1095","12138","22822","366896",NA,NA,NA,"1880",NA,NA,"2320","1415","453","9602","721","3330","19500",NA,NA,"9805","5230","152",NA,"686","617","611",NA,"15205","183","277588","21500","2984014","2504"
"Ripe_Banana_5","Ripe","122107","24359","15625","21756",NA,NA,"981","30693","34127","443","6201","46839","164656","40181","218654","4837","103","329","6634","5263","1336","4658","25059",NA,"1485","33347","232033","10207","2086879","40674001","5193","178548","86599","1436449","3804","3093998","132865","5251","3094702","12192","6280","954","841358","1244","563","370",NA,"79287","15823","5001","156956","111827","1095607","2791","19108","34114",NA,"19908","316900","507","1746164","6441","1939","951","1144","833","1654","1014","22791","1416","1325","902","4847","31019699","659830","49892","318221","39933632","2090570","36617088","1710","633",NA,NA,"1853","1337846",NA,"2963","14582","216474","14056","3173","6910","1223","66774","98551","1548","1522","571588",NA,"1361",NA,"3843","1705","1948","14206","46697","2342544","30759"
"Overripe_Banana_1","Overripe","55995","2127","4160","41015",NA,"402","262","811","380","689","3936","6862","1053482","10356","469591","14855","920",NA,"3894","15273","234",NA,"3321",NA,NA,"230139","54838","2025","9932932","1671504","29275","344068","177137","363465","1449","99016","39714","2166","99506",NA,"2078","693","212087","313","1625","316","1431","226560","42957","255","88842","190061","27781","514","7286","1327",NA,"149984","1460586","3445","2474340","9730",NA,"4018","10162","770","2770",NA,"85519","3551","1353","3413","81541","47618636","3418","1601","111508","1592753","9943166","20878842","1083","3223","1474",NA,"4168","12908",NA,"11230","14113","249454","649","1091","5392","8344","205","2985","219","1222","840610",NA,"1874",NA,"7829","3996","1957","4094","6785","119744","857"
"Ripe_Banana_2","Ripe","118401","14523","3133","25883",NA,NA,"136","28939","30464","542","1728","82080","189334","37112","285777","6089","371","427","6806","6723","659","6900","4730",NA,"1983","44422","205682","9815","2459457","41013491","6057","203121","114820","1479940","2025","2917727","137284","2586","2911577","14938","42740","1045","874879","540","612","467",NA,"104486","28348","5248","78592","113138","1071713","1498","27412","43690",NA,"17058","282918","510","1877652","4896","1954","1504","1463","697","2767","843","30555","1879","1757","802","6389","34181612","1631080","73414","390315","40439220","2461652","38126636","1274","608",NA,NA,"1444","1258127",NA,"4068","28324","264660","14627","4108","8166","1268","65567","108770","2727","1722","527639",NA,"1730",NA,"5250","1554","1771","11777","81575","4605928","29402"
"Green_Banana_3","Green","53522","1206","53191","999","2011","485","36394","3232",NA,"826","8077","12040","4177","29252","2404167","21740","21918","1567","1452","21754","8932","9191","88608","243","4587","2009","685",NA,"10498","136616",NA,"988",NA,"2146","248215",NA,"1910",NA,"2650",NA,"28087","345","472","3789",NA,"1221","1821","1311","1569",NA,"43572","1167",NA,"374","1105",NA,"2064",NA,"3499","431","1834179",NA,NA,"380","1839","344","478","2611","5206","304",NA,"1181","34785","1756431","7232191","13729","8155","131832","10497","1216860",NA,NA,NA,"2023",NA,NA,"2200","585","244","13758","1693","127","23762",NA,NA,"9440","5769","213",NA,"933","136","681",NA,"10476","236","82250","12083","4438927","3416"
"Overripe_Banana_3","Overripe","32269","2826","6716","39817",NA,"292","4965","988","374","508","3017","3304","1366263","8937","598495","21403","883",NA,"3854","20874","735","153","8169",NA,NA,"257416","52696","2113","11736737","1726909","34374","255019","229011","422829","2374","105591","31026","1514","105587",NA,"3916","636","250269","640","1445","417","880","281141","36915","186","39584","163331","32588","340","3511","1172",NA,"130601","1417893","2747","2012282","8189",NA,"2995","7662","553","3024",NA,"75764","3396","1405","4007","88500","43101399","18054","1593","66983","1645470","11751787","15026835","3498","2260","1022",NA,"3777","16118",NA,"9826","10751","163615","574","1190","7738","10273","1991","2704","1195","1295","684841",NA,"1618",NA,"10766","5256","1720","4808","3340","175474","1080"
"Green_Banana_2","Green","68455","966","99780","1629","1787","518","49052","2773",NA,"889","10819","14904","5601","44031","1824633","21903","22042","3065","2109","21378","13112","4388","166549","326","5417","4561","458",NA,"28176","8733",NA,"128",NA,"1138","488937",NA,"409",NA,NA,NA,"36049","321","362","7171",NA,"1370","1732","1043","2201",NA,"51060","2227",NA,"270","168",NA,"820",NA,"4077","507","1326655",NA,NA,"683","3816","253","602","2446","9378","481",NA,"1242","37874","2683273","5107911","7730","364","8050","33767","383275",NA,NA,NA,"2071",NA,NA,"973","1115","240","8342","1401","149","15225",NA,NA,"10254","7280",NA,NA,"788","213","638",NA,"14392","246","218575","15033","3038256","2934"
