,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Acetate (g/L),Ethanol (g/L),Formate (g/L),Propionate (g/L),Lactate (g/L),Maltose (g/L),Succinate (g/L),Glucose (g/L),psilocin (g/L),psilocybin (g/L),tryptophan (g/L),serotonin (g/L),Baeocystine (g/L),4-hydroxytryptamine (g/L),norbaeocystin (g/L),tryptamine (g/L)
0,27-PSI_F503_C1_R1_T6,46.54138888888889,12.1776,29.5,3.0,0.006,,,0.006724859900593117,,,,,,0.00156781774503,0.0036176325662,,,7.14204675e-05,,,0.0007060831312
1,27-PSI_F503_C1_R1_T7,50.06166666666667,12.384,30.0,3.0,0.006,,,0.006249057166460434,,,,,,0.006421820181119999,0.00952554887436,1.168720427e-05,7.979669850000001e-07,0.00020409283575,1.133294615e-06,1.5423022285e-05,0.0018894728578
2,27-PSI_F503_C1_R1_T8,52.98777777777778,17.007360000000002,41.2,3.0,0.006,,,0.006472004733311174,,,,,,0.00943564972401,0.012903494469119998,,,0.00026473943250000006,,,0.0018938003999999997
4,27-PSI_F503_C1_R1_T9,69.94194444444445,31.455360000000002,76.2,3.0,0.006,,0.020741220696540164,0.017211552160877632,,,,,,0.031260877700399994,0.03840611773584,1.197147851e-05,1.147215205e-06,0.0005899579222500001,6.2872609050000016e-06,4.876346079e-05,0.0010437323614
3,27-PSI_F503_C1_R1_T10,73.48222222222222,39.79392,96.4,3.0,0.006,0.0014011196472533004,0.02872192507621802,0.0156313433090038,,,,,,0.027627320644649993,0.061604926865400006,,,0.0007233031507500001,,,0.0008852331242
6,27-PSI_F503_C1_R1_T11,76.81,46.81152,113.4,3.0,0.006,0.0009525804644031346,0.02702131367834653,0.01977599295421453,,,,,,0.033681972364649995,0.08985286731819998,1.0497010110000002e-05,9.5030053e-07,0.00101420847,4.543839165000001e-06,5.6419955129999996e-05,0.0009370771117999998
8,27-PSI_F503_C1_R1_T12,94.54166666666667,103.36512,250.4,3.0,0.006,0.0021744488891791993,0.03141056929088438,0.030424730031380746,,,,,,0.05105588126985,0.2621274161312,,,0.00298779405525,,,0.0008517070892
7,27-PSI_F503_C1_R1_T13,97.11416666666666,71.8272,174.0,3.0,0.006,,,0.03134534035010833,,,,,,0.042400538064,0.2748460871074,,,0.00343899954675,,,0.0008065090271999999
5,27-PSI_F503_C1_R1_T14,100.51583333333333,79.464,192.5,3.0,0.006,,,0.03421864508971647,,,,,,0.032372572221,0.2440231788496,,,0.00325888917975,,,0.0007068457784
9,27-PSI_F503_C1_R1_T15,118.55833333333334,95.3568,231.0,3.0,0.006,0.0032659901636679085,0.017924294764442072,0.04678201236903284,0.09436360719588484,,,,,0.09149893245675,0.5691306193214,,,0.006708087018000001,,,0.001049481055
2,27-PSI_F503_C1_R2_T6,46.530833333333334,8.9784,21.75,3.0,0.006,,0.005810458886139945,0.0063219229566018964,,,,,,0.005898462541469999,0.011315560466399999,,,0.000269338662,,,0.0024047996592
0,27-PSI_F503_C1_R2_T7,50.05083333333334,13.04448,31.6,3.0,0.006,,,0.005033177265293918,,,,,,0.00354928831506,0.004602869895839999,1.732367627e-05,6.63871175e-07,0.00020031779250000002,8.836931499999999e-07,1.1742084365e-05,0.0076171119475999995
1,27-PSI_F503_C1_R2_T8,52.977222222222224,15.975360000000002,38.7,3.0,0.006,,,0.004737363908301715,,,,,,0.00407486435949,0.005100316580879999,,,0.00018766856025,,,0.005612862288400001
3,27-PSI_F503_C1_R2_T9,69.93138888888889,30.5472,74.0,3.0,0.006,,,0.01772705043740083,,,,,,0.0228355765335,0.023445460275,1.4350947840000001e-05,1.568269e-06,0.00048571862850000004,3.425962925e-06,4.82866912e-05,0.0020256214049999997
4,27-PSI_F503_C1_R2_T10,73.47055555555555,37.81248,91.6,3.0,0.006,,,0.01824581136124377,,,,,,0.025134822353249996,0.03054561190424,,,0.0006451297605,,,0.0016559281748
5,27-PSI_F503_C1_R2_T11,76.8013888888889,42.35328,102.6,3.0,0.006,,0.00827065620674967,0.021481269953346052,,,,,,0.025620430342499997,0.054357581023,1.2213479210000001e-05,5.17264455e-07,0.00084359110725,5.44735594e-06,4.672470077e-05,0.0014308094616
11,27-PSI_F503_C1_R2_T12,94.53166666666667,102.53952,248.4,3.0,0.006,,0.0042086947020430355,0.031871714117697465,,,,,,0.046110064248449996,0.18336552177419999,,,0.0028763694787500003,,,0.0010063530354
7,27-PSI_F503_C1_R2_T13,97.09972222222223,84.8304,205.5,3.0,0.006,,0.0034262640898991012,0.03660690292778606,,,,,,0.03655255955174999,0.2026116704028,,,0.0035203345695,,,0.0010069041922
9,27-PSI_F503_C1_R2_T13,97.09972222222223,84.8304,205.5,3.0,0.006,,0.0034262640898991012,0.03660690292778606,,,,,,0.03655255955174999,0.2026116704028,,,0.0035203345695,,,0.0010069041922
8,27-PSI_F503_C1_R2_T13,97.09972222222223,84.8304,205.5,3.0,0.006,,0.0034262640898991012,0.03660690292778606,,,,,,0.03655255955174999,0.2026116704028,,,0.0035203345695,,,0.0010069041922
10,27-PSI_F503_C1_R2_T13,97.09972222222223,84.8304,205.5,3.0,0.006,,0.0034262640898991012,0.03660690292778606,,,,,,0.03655255955174999,0.2026116704028,,,0.0035203345695,,,0.0010069041922
6,27-PSI_F503_C1_R2_T14,100.50555555555556,81.1152,196.5,3.0,0.006,,0.00704758668164655,0.039547635712002545,,,,,,0.03876464208239999,0.23735680145739996,,,0.003983638034250001,,,0.0009669869814
12,27-PSI_F503_C1_R2_T15,118.54722222222222,87.1008,211.0,3.0,0.006,,,0.06097017801359308,0.11533699765555393,,,,,0.09760881959595,0.5033512812848,,,0.0066060230355000004,,,0.0012602552716
0,27-PSI_F503_C1_R3_T6,46.547777777777775,10.75344,26.05,3.0,0.006,,,,,,,,,0.0019987704503999994,0.00288276155564,,,0.00015477136875000002,,,0.0091902704704
1,27-PSI_F503_C1_R3_T7,50.0575,13.6224,33.0,3.0,0.006,,,0.006291471581617382,,,,,,0.00807750391437,0.013989578723320002,1.3440535079999997e-05,3.911862000000001e-07,0.000286708725,8.655435199999999e-07,2.8440676659999997e-05,0.0020969497468
2,27-PSI_F503_C1_R3_T8,52.98388888888889,18.49344,44.8,3.0,0.006,,,0.009378479720670284,,,,,,0.00960009970266,0.01570716290576,,,0.00031611731175000004,,,0.0018249186175999998
3,27-PSI_F503_C1_R3_T9,69.93833333333333,30.588479999999997,74.1,3.0,0.006,,0.02742197438484531,0.015318129166305827,,,,,,0.0368388379476,0.0576861150926,1.8620779600000002e-05,1.2349677850000002e-06,0.0008743102852499999,4.832823565e-06,6.4656847915e-05,0.0014955607724
5,27-PSI_F503_C1_R3_T10,73.47638888888889,36.7392,89.0,3.0,0.006,,0.038761287428106,0.01834369078083679,,,,,,0.037460961582749995,0.0747225597362,,,0.0011324724412500003,,,0.001396109014
4,27-PSI_F503_C1_R3_T11,76.80805555555555,49.536,120.0,3.0,0.006,0.0016975419669920412,0.03321178518633077,0.018830912780588658,,,,,,0.03933598344975,0.09434970553300001,1.068734315e-05,4.917140050000001e-07,0.00136520642475,3.86058489e-06,7.320091250999999e-05,0.0011813453194
11,27-PSI_F503_C1_R3_T12,94.53833333333333,94.28352,228.4,3.0,0.006,,0.021159014920093724,0.028349142561455685,,,,,,0.04883806888155,0.2545238883202,,,0.0040587443707500006,,,0.0009338086238
6,27-PSI_F503_C1_R3_T13,97.10333333333334,72.24,175.0,3.0,0.006,,0.00711128821941235,0.029158279096757878,,,,,,0.037211370617699996,0.3285026316354,,,0.004770500807250001,,,0.0009508944846
7,27-PSI_F503_C1_R3_T13,97.10333333333334,72.24,175.0,3.0,0.006,,0.00711128821941235,0.029158279096757878,,,,,,0.037211370617699996,0.3285026316354,,,0.004770500807250001,,,0.0009508944846
8,27-PSI_F503_C1_R3_T13,97.10333333333334,72.24,175.0,3.0,0.006,,0.00711128821941235,0.029158279096757878,,,,,,0.037211370617699996,0.3285026316354,,,0.004770500807250001,,,0.0009508944846
9,27-PSI_F503_C1_R3_T13,97.10333333333334,72.24,175.0,3.0,0.006,,0.00711128821941235,0.029158279096757878,,,,,,0.037211370617699996,0.3285026316354,,,0.004770500807250001,,,0.0009508944846
10,27-PSI_F503_C1_R3_T14,100.51222222222222,79.2576,192.0,3.0,0.006,,0.006845938365546606,0.03184670048824584,,,,,,0.0389674443168,0.37898500514239997,,,0.005672806402500001,,,0.000993163725
12,27-PSI_F503_C1_R3_T15,118.55416666666666,105.4704,255.5,3.0,0.006,,0.01131075718150312,0.05010991263519521,0.10910964256843389,,,,,0.1012097951082,0.5594470064374,,,0.007574355407250001,,,0.0012807474096
0,27-PSI_F503_C1_R4_T6,46.545833333333334,10.691519999999999,25.9,3.0,0.006,,0.002071398279763393,0.006634049550192973,,,,,,0.005365412147969999,0.00843993647848,,,0.00021579898275,,,0.0026206015793999995
1,27-PSI_F503_C1_R4_T7,50.05361111111111,15.6864,38.0,3.0,0.006,,0.002091167722518239,0.009521492428186753,,,,,,0.00808323785748,0.013844601675759998,1.2044385050000001e-05,6.1462048e-07,0.00021471808275000002,1.35294038e-06,2.3192880700000003e-05,0.0018380935082
