,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Glucose (g/L),Propionate (g/L),Maltose (g/L),Lactate (g/L),Acetate (g/L),Ethanol (g/L),Formate (g/L),Succinate (g/L),4-hydroxytryptamine (g/L),Baeocystine (g/L),norbaeocystin (g/L),psilocin (g/L),psilocybin (g/L),serotonin (g/L),tryptophan (g/L),tryptamine (g/L)
0,27-PSI_F504_C1_R1_T3,22.84777777777778,7.51296,18.2,3,0.007,,0.02446017651253233,,,0.015206341664600359,,0.001251769021683958,0.00044453171798013624,,0.000291940281,,0.0020464600249800002,0.0105580573116,,,0.006430897542399999
1,27-PSI_F504_C1_R1_T4,26.97888888888889,9.288,22.5,3,0.004,,0.00997872620539638,,,0.01719208341819,,0.004183801413047902,0.001213650200942949,,0.0003301663095,,0.00450827038359,0.0151145600212,,,0.006242464402600001
2,27-PSI_F504_C1_R1_T5,46.48777777777778,21.8784,53.0,3,0.006,,0.06533016476039664,,,0.05978274945610231,,0.014755175770830338,,,0.0008055569385,,0.04656937208895,0.09027191161659999,,,0.0117024383582
3,27-PSI_F504_C1_R1_T6,49.27361111111111,23.9424,58.0,3,0.006,,0.08223886722459847,,,0.06409546808863997,,0.015155819047652756,,5.690261425e-06,0.0009271149525,8.801586783e-05,0.05307518115675,0.10532399304819999,1.5239521850000002e-06,6.714140939999998e-05,0.012664889511399999
4,27-PSI_F504_C1_R1_T7,53.153055555555554,30.712320000000002,74.4,3,0.006,,0.13500867080081838,,,0.09807179728121888,,0.02314701827231464,,,0.001887597288,,0.05746056498899999,0.17523140918,,,0.019470751522
6,27-PSI_F504_C1_R1_T8,70.985,50.93952,123.4,3,0.008,,0.11909199802017574,,,0.14787962971380833,0.002662284957659745,0.03141830394142853,,1.103444641e-05,0.0056156646239999995,0.000128115623295,0.09096684214635,0.45814849072499997,6.58813948e-06,5.358048663e-05,0.024051721707
7,27-PSI_F504_C1_R1_T9,74.29027777777777,56.3472,136.5,3,0.008,,0.09485038892648072,,,0.13140430212884419,,0.03953340812767225,,,0.007204333612500001,,0.091410737589,0.5186942804258,,,0.025241435317000002
5,27-PSI_F504_C1_R1_T10,77.3338888888889,59.60832,144.4,3,0.007,,,,,0.13377239167349705,0.007554563058072184,0.04416734876379891,,9.642827935000001e-06,0.0072336773452500005,0.00018216876711,0.07941945287475,0.4968646364322,2.9855260300000002e-06,5.051157058000001e-05,0.022378768555
8,27-PSI_F504_C1_R1_T11,94.73388888888888,87.1008,211.0,3,0.01,,0.0484220677461088,,,0.1252908487383933,,0.07401879452916528,,,0.01271453212125,,0.09313930592865,0.6280429264790001,,,0.018601013274
0,27-PSI_F504_C1_R2_T3,22.845277777777778,7.65744,18.55,3,0.007,,0.0006402632837129402,,,0.0061627885892978525,,,,,0.00019819112175,,0.00119164901553,0.005610403952360001,,,0.012175806745999999
1,27-PSI_F504_C1_R2_T4,26.98,8.81328,21.35,3,0.004,,0.004513023656545008,,,0.01193582910770476,,0.006864609960789905,,,0.00022476234600000001,,0.0021641253584399997,0.00775471576476,,,0.010165644968799998
2,27-PSI_F504_C1_R2_T5,46.485277777777775,19.4016,47.0,3,0.006,,0.042397235655113524,,,0.04922995042274055,0.003717094558871209,0.012688541899913048,,,0.0009057671775000001,,0.05424783074054999,0.07852137452719998,,,0.011082186683199997
3,27-PSI_F504_C1_R2_T6,49.27111111111111,19.77312,47.9,3,0.006,,,,,0.05425432929864507,,0.016771163480685164,,5.459602535e-06,0.0012367630777500001,0.00018740272881,0.061515261475200006,0.09051831546280001,1.7995446250000003e-06,6.702571877000001e-05,0.011497930345799998
4,27-PSI_F504_C1_R2_T7,53.150555555555556,28.648320000000002,69.4,3,0.006,,,,,0.06120031416963798,,0.01900555339348673,,,0.0018001362645,,0.076833816309,0.1290866359174,,,0.013297514976999998
5,27-PSI_F504_C1_R2_T8,70.9825,45.160320000000006,109.4,3,0.008,,,,,0.10857649449570458,,0.028409408522803017,,1.6537660920000004e-05,0.00849144501225,0.00020639204399,0.10759486861935,0.45631146953720003,4.5365264500000005e-06,5.874919272e-05,0.019493502761999997
6,27-PSI_F504_C1_R2_T9,74.28777777777778,53.7672,130.25,3,0.008,,,,,0.11817013503815058,,0.03916329996169291,,,0.010965230583750001,,0.10160843386770001,0.5184214127184,,,0.020646421849
8,27-PSI_F504_C1_R2_T10,77.3313888888889,53.7672,130.25,3,0.007,,,,,0.11277533104423701,,0.03827166872269718,,1.070088088e-05,0.013794237726750001,0.00018681477275999997,0.10539283632029997,0.6184293106500001,2.779800855e-06,5.416404528e-05,0.023132187082999998
7,27-PSI_F504_C1_R2_T11,94.73138888888889,79.0512,191.5,3,0.01,,,,,0.11765252657691484,,0.05578339874684976,,,0.020551924543500005,,0.1086936020181,0.9009845109738,,,0.028982940823
0,27-PSI_F504_C1_R3_T3,22.8425,8.111519999999999,19.65,3,0.007,,0.036139171874142256,,,0.01094260272670249,,0.0036891399608689527,0.0005992442342766598,,0.00031944107925,,0.0025351647929099997,0.011118858082399999,,,0.0067814925486
1,27-PSI_F504_C1_R3_T4,26.980833333333333,8.648159999999999,20.95,3,0.004,,0.004761669321850139,,,,,0.008960599212003062,0.0005781780456087387,,0.00047472587550000003,,0.006995792584709999,0.02273219810148,,,0.008622944268
3,27-PSI_F504_C1_R3_T5,46.4825,20.18592,48.9,3,0.006,,,,,,,0.006374454800963826,0.0012857989372493024,,0.00118101566025,,0.06831744002505,0.1076467724788,,,0.015177656622
4,27-PSI_F504_C1_R3_T6,49.26833333333333,24.02496,58.2,3,0.006,,,,,,,0.006062067949438618,0.0009444251570281621,3.9750332849999996e-06,0.0014743205775000002,8.2570933665e-05,0.07686667362105,0.1228337883348,1.90958777e-06,5.2306868599999994e-05,0.015961685181
2,27-PSI_F504_C1_R3_T7,53.147777777777776,27.6576,67.0,3,0.006,,,,,,,0.006110551270310277,0.001014730389088561,,0.001335808647,,0.06105774102345,0.1308499221364,,,0.014322193976
5,27-PSI_F504_C1_R3_T8,70.97972222222222,44.49984,107.8,3,0.008,0.002518699927368168,,,,,,0.014651879946139323,0.0012558494160105635,1.1949945465000002e-05,0.008434976093999999,0.000171078430105,0.11817917197785,0.5459583678562,5.656076685000001e-06,6.064568174999999e-05,0.027282085357999995
6,27-PSI_F504_C1_R3_T9,74.285,59.34,143.75,3,0.008,0.0030949625481131063,,,,,,0.010848143045028348,0.002664238342737053,,0.010385265581999998,,0.09815490260684999,0.5122432239236,,,0.023517676403
7,27-PSI_F504_C1_R3_T10,77.32861111111112,55.0056,133.25,3,0.007,0.004387588335013486,,,,,,0.02015859349286653,0.002857894992780714,1.4284199335000001e-05,0.014535672975,0.000164405449175,0.09815490260684999,0.5122432239236,5.37317153e-06,5.887366481e-05,0.023517676403
8,27-PSI_F504_C1_R3_T11,94.7286111111111,90.1968,218.5,3,0.01,0.005875515215182965,0.046547145251872306,,,,,0.01489099086952893,0.004856898630715101,,0.02118235136175,,0.1282673677149,0.7821752619432,,,0.025592044742999996
0,27-PSI_F504_C1_R4_T3,22.84,5.96496,14.45,3,0.007,,0.0289902174297648,,,,,,0.0004934056719330126,,0.0003484010925,,0.0023577598206,0.01018492539624,,,0.00564719423
1,27-PSI_F504_C1_R4_T4,26.980833333333333,7.905119999999999,19.15,3,0.004,,0.011663048906634534,,,,,0.0038753599887622796,0.0006182799469284007,,0.00044011275525,,0.00490912550514,0.01694803090152,,,0.0059852295904
2,27-PSI_F504_C1_R4_T5,46.48,17.08992,41.4,3,0.006,,,,,,,,,,0.0009884560275,,0.034030584666449995,0.08018729022360001,,,0.010621792910999999
3,27-PSI_F504_C1_R4_T6,49.26583333333333,22.95168,55.6,3,0.006,2.7466523779375698,,,0.008467682294038765,,,,0.003176679727322329,8.44521667e-06,0.002108717001,7.844922085e-05,0.06687690682905,0.16211384737219997,2.3049149050000003e-06,6.458743408000001e-05,0.017839583746
4,27-PSI_F504_C1_R4_T7,53.14527777777778,28.15296,68.2,3,0.006,2.700905895740277,,,,,,,,,0.002227756518,,0.08530206587414998,0.154556979527,,,0.017171770763999998
5,27-PSI_F504_C1_R4_T8,70.97722222222222,42.02304,101.8,3,0.008,4.193244465892483,,,0.012519727086606789,0.11279626195462883,,0.021759094028459453,,1.071480147e-05,0.00816908280075,0.00018588044783000003,0.09646262336565,0.46734994115399997,3.7722155749999995e-06,6.719685513e-05,0.029858446990999994
7,27-PSI_F504_C1_R4_T9,74.2825,54.3864,131.75,3,0.008,,,,0.018304824551552024,0.11735958145969656,,0.03557243290224906,,,0.010404748804499998,,0.08246106763109999,0.45555605563460005,,,0.02724260715
6,27-PSI_F504_C1_R4_T10,77.32611111111112,54.18,131.25,3,0.007,4.624346750164075,,,0.01996330806057918,0.13170502595730546,,0.042917105067475286,,1.7571308780000004e-05,0.012173076884250001,0.000171372280035,0.09164540641139998,0.5606269222768,7.317472670000001e-06,5.828449011e-05,0.03026756075
8,27-PSI_F504_C1_R4_T11,94.72611111111111,84.2112,204.0,3,0.01,7.473484931739649,0.040678146688294364,,0.025689893225814605,0.12015208551739724,0.03956821656712903,0.04370771376578194,,,0.02150027107425,,0.11247414371099998,0.7477748290764001,,,0.02816867875
5,27-PSI_F504_C2_R2_T5,46.565555555555555,12.65232,30.65,3,0.008,,,,,,,,,,0.000239257215,,0.0024035680408499996,0.00204913855776,,,0.0022902279393999998
7,27-PSI_F504_C2_R2_T6,49.87083333333333,16.223039999999997,39.3,3,0.008,,,,,,,,,1.0566344545e-05,0.00024020030025,2.346572305e-06,0.00257371927893,0.0023074127674799997,5.41052805e-07,1.354703581e-05,0.0016966000217999999
9,27-PSI_F504_C2_R2_T7,52.91444444444444,18.90624,45.8,3,0.007,,,,,,,,,,0.00023877891675,,0.00270917270523,0.0027219374590800004,,,0.0013229349377999998
8,27-PSI_F504_C2_R2_T8,70.31444444444445,37.02816,89.7,3,0.01,,,,,,,,,7.037034455e-06,0.00021556658925,1.667156425e-06,0.0026297534055599995,0.004007805388959999,2.6625331e-07,1.249407749e-05,9.96071718e-05
6,27-PSI_F504_C2_R2_T9,73.84777777777778,29.473920000000003,71.4,3,0.008,,,,,,,,,,0.00020707341749999999,,0.0025585601796000003,0.004608392912200001,,,9.588686340000001e-05
3,27-PSI_F504_C2_R2_T10,76.57583333333334,56.6568,137.25,3,0.008,,,,,,,,,6.709812485e-06,0.00018816847650000003,2.3595099000000004e-06,0.00181412195751,0.00441852110376,9.5188642e-07,1.3202108229999998e-05,7.94755288e-05
2,27-PSI_F504_C2_R2_T11,94.77333333333333,68.9376,167.0,3,0.004,,,,,,0.028524063235036513,0.03274056620588465,,,0.0001460674215,,0.0016514307693899998,0.00657214501168,,,8.37662204e-05
0,27-PSI_F504_C2_R2_T12,97.44444444444444,94.1184,228.0,3,0.006,,,,0.008147089321666252,,0.023564405820738,0.05398838157787809,0.006479756586651186,,0.00015819782175,,0.0015031816823699998,0.0072980848244,,,9.0388113e-05
1,27-PSI_F504_C2_R2_T13,100.46222222222222,99.40224,240.8,3,0.008,,,,0.00715972828281805,,0.06651250065641814,0.02667188689451017,0.006268079461963532,,0.00013744454174999997,,0.0016271120687399998,0.00721547835068,,,0.0001231915558
4,27-PSI_F504_C2_R2_T14,108.50722222222223,90.4032,219.0,3,0.004,,,,0.007286278140331064,,0.06345215338905844,0.041746343057789695,0.006038128053130966,,0.00012931617375000002,,0.0020113638808499997,0.00811168795392,,,0.00015336739059999997
10,27-PSI_F504_C2_R2_T15,118.09083333333334,89.66015999999999,217.2,3,0.004,,0.08818917520245309,,0.00439196043135592,,0.044199851946638606,,0.006016046626454346,,0.00013069161900000002,,0.00492251355756,0.0119666396724,,,0.00015377595159999998
1,27-PSI_F504_C2_R3_T6,49.86611111111111,7.24464,17.55,3,0.008,0.06623505962843929,,,,,,,,1.2497694250000002e-05,0.0002178607995,3.8121072000000006e-06,0.0033323667309,0.0010930995935600001,4.3400523e-07,2.2524342790000002e-05,0.0065203259376
5,27-PSI_F504_C2_R3_T7,52.90972222222222,8.689440000000001,21.05,3,0.007,2.5907554571584424,,,,,,,0.0330165552611801,,0.0002170717425,,0.00372374767071,0.00113929054356,,,0.007194747994599999
2,27-PSI_F504_C2_R3_T8,70.30972222222222,24.479039999999998,59.3,3,0.01,,,,,,,,,1.5195733665000001e-05,0.000237873663,2.96847353e-06,0.0034754436255599996,0.004197620347,8.929441750000001e-07,1.4689238270000001e-05,0.0012464362966
6,27-PSI_F504_C2_R3_T9,73.84305555555555,49.040639999999996,118.8,3,0.008,,,,,,,0.012445888846478539,,,0.00024338895525,,0.00395987500233,0.00480808562724,,,0.0008403010274
3,27-PSI_F504_C2_R3_T10,76.57111111111111,37.8744,91.75,3,0.008,,,,,,,0.01793662493519296,,7.601346980000001e-06,0.000261966924,2.008913885e-06,0.0035014537066499997,0.00563593262448,2.41495805e-07,1.46139832e-05,0.0005756816753999999
