,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Maltose (g/L),Propionate (g/L),Acetate (g/L),Ethanol (g/L),Formate (g/L),Glucose (g/L),Lactate (g/L),Succinate (g/L),norbaeocystin (g/L),Baeocystine (g/L),4-hydroxytryptamine (g/L),tryptophan (g/L),serotonin (g/L),psilocybin (g/L),psilocin (g/L),tryptamine (g/L)
0,27-PSI_F505_C1_R1_T4,25.974722222222223,7.10016,17.2,3,0.006,,0.007653933438386109,,,,,,,,6.748599149999999e-05,,,,0.0008015053644,0.00020474078516999998,0.00030787554759999995
3,27-PSI_F505_C1_R1_T5,29.014722222222222,8.00832,19.4,3,0.006,,,,,,,,,,7.932995325e-05,,,,0.00129494125372,0.0004959176475599999,4.59094388e-05
1,27-PSI_F505_C1_R1_T6,47.04555555555555,20.392319999999998,49.4,3,0.008,,,,,0.007089032836992343,,,,,7.844361525000002e-05,,,,0.00148799668456,0.00046642675455,3.0529921e-05
2,27-PSI_F505_C1_R1_T7,49.80972222222222,25.8,62.5,3,0.008,,,,,0.015158751027979188,,,,1.7321005900000001e-06,8.854732800000001e-05,2.766937525e-06,3.300756805e-05,1.215849e-07,0.0017931525766399998,0.00048409024086,2.7697231399999998e-05
5,27-PSI_F505_C1_R1_T8,52.87861111111111,33.93216,82.2,3,0.007,,,,,0.009793630816070289,,,,,9.104690925000001e-05,,,,0.00397758940136,0.0006869353725899999,2.4377473e-05
4,27-PSI_F505_C1_R1_T9,70.74111111111111,50.27904,121.8,3,0.009000000000000001,,,,,0.023625701882016518,,,,9.33684455e-07,8.32671315e-05,2.61971407e-06,2.6891281160000003e-05,8.8721735e-08,0.00404930049592,0.00068646963015,2.21840612e-05
6,27-PSI_F505_C1_R1_T10,73.93166666666667,58.452479999999994,141.6,3,0.008,,,,,0.024049930939643242,,,,,8.8114968e-05,,,,0.00457937362552,0.0006906919530599998,2.7738888599999996e-05
7,27-PSI_F505_C1_R1_T11,76.87166666666667,69.3504,168.0,3,0.008,,,,,0.023417443980999635,,,,7.316786399999999e-07,9.886722075e-05,2.21619317e-06,2.6544821930000005e-05,0.0,0.00736198183148,0.0021490540965,8.81914968e-05
8,27-PSI_F505_C1_R1_T12,95.04666666666667,77.11104,186.8,3,0.004,,,,,0.027463597486468903,,,,,0.00896300385075,,,,0.01229763975632,0.00585644154264,0.00021141990319999994
6,27-PSI_F505_C1_R2_T6,47.039722222222224,16.88352,40.9,3,0.008,,,,,0.006400349301883908,,,,,0.009929960777250002,,,,0.013471429965119998,0.00720928646793,0.0001748673124
5,27-PSI_F505_C1_R2_T7,49.80388888888889,22.4976,54.5,3,0.008,,,,,0.004876981322224015,,,,1.72236537e-06,0.00794327198175,3.40931108e-06,3.347533396e-05,1.1929417000000002e-07,0.01127652698176,0.006244200722159999,0.0001373950588
4,27-PSI_F505_C1_R2_T8,52.87277777777778,28.31808,68.6,3,0.007,,,,,0.007360649623239107,,,,,0.0070318219724999995,,,,0.014546743911039998,0.0055491516260099995,0.000156390742
2,27-PSI_F505_C1_R2_T9,70.73527777777778,38.720639999999996,93.8,3,0.009000000000000001,,,,,0.01554827043543648,,,,1.2025558600000001e-06,0.005801771283750001,3.2578585849999998e-06,3.365249481e-05,8.510943000000001e-08,0.01344495757636,0.00440994561777,0.000146304893
3,27-PSI_F505_C1_R2_T10,73.92583333333333,51.84768,125.6,3,0.008,,,,,0.01256048578672198,,,,,0.006264809928,,,,0.01578773697768,0.005404007488590001,0.0001997831246
7,27-PSI_F505_C1_R2_T11,76.86583333333333,65.2224,158.0,3,0.008,,,,,0.021320540353301488,,,,7.27707695e-07,0.00357520916025,3.0278164300000006e-06,3.139698702e-05,7.991123500000001e-08,0.01719813286624,0.007505535428909999,0.000350096722
0,27-PSI_F505_C1_R2_T12,95.04083333333334,77.77152,188.4,3,0.004,,,,,0.017544901740422874,,,,,0.0026485130565,,,,0.01529985821496,0.0033001916906699996,0.00023037553139999993
1,27-PSI_F505_C1_R2_T13,98.01305555555555,83.592,202.5,3,0.008,,,,,0.028144567765984167,,,,,0.00241867318275,,,,0.01620535433104,0.0033265245231,0.00023599124239999999
8,27-PSI_F505_C1_R2_T14,100.29,92.6736,224.5,3,0.008,,,,,0.03330914333246931,,0.012847123814757359,,,0.009018718841249999,,,,0.020356135633480002,0.01237707061659,0.00030539694419999997
7,27-PSI_F505_C1_R3_T4,25.968888888888888,7.8432,19.0,3,0.006,,0.0019228518871617717,,,,,0.002217896313709014,,,0.0091064798145,,,,0.021744709496,0.01488106130697,0.0002582393916
8,27-PSI_F505_C1_R3_T5,29.00888888888889,8.54496,20.7,3,0.006,,,,,0.001067734952832136,,0.00174666018394086,,,0.008318736108000001,,,,0.0217809232008,0.015334010128979999,0.0001989836268
6,27-PSI_F505_C1_R3_T6,47.039722222222224,21.424319999999998,51.9,3,0.008,,,,,0.010172131286965862,,0.009987369185145189,,,0.007121525863500001,,,,0.030236362783359998,0.01347303407346,0.00011747490619999999
4,27-PSI_F505_C1_R3_T7,49.80388888888889,28.111679999999996,68.1,3,0.008,,,,,0.014282194624493125,,0.010463087789309844,,6.92865855e-07,0.006944477145750001,3.90869022e-06,3.4229824750000005e-05,8.043986500000001e-08,0.03203770466012,0.012100105026809999,0.00015529483720000002
3,27-PSI_F505_C1_R3_T8,52.87277777777778,36.3264,88.0,3,0.007,,,,,0.010605726440670146,,0.011493992865154005,,,0.006457596549750001,,,,0.033323259912799996,0.01021619524158,0.0001414085698
5,27-PSI_F505_C1_R3_T9,70.73527777777778,55.150079999999996,133.6,3,0.009000000000000001,,,,,0.027709870718623675,,0.01421794452938968,,6.789035e-07,0.00350197818525,3.4843765400000005e-06,2.8871704609999997e-05,0.0,0.03421045588512,0.012607946089379998,0.0002582233696
0,27-PSI_F505_C1_R3_T10,73.92583333333333,62.7456,152.0,3,0.008,,,,,0.029983628278137636,,0.01599426908853302,,,0.0035940303315,,,,0.04006463151016,0.00691130118645,0.0002192786942
1,27-PSI_F505_C1_R3_T11,76.86583333333333,68.5248,166.0,3,0.008,,,,,0.022520502544874525,,0.017724055958138522,,3.255022045e-06,0.0032078571885,3.328166375e-06,2.7779638159999995e-05,1.8449187e-07,0.03978987636947999,0.006945856007129999,0.0002325865674
2,27-PSI_F505_C1_R3_T12,95.04083333333334,87.5136,212.0,3,0.004,,,0.08258830750649716,,0.03804618416035931,,0.025710576643387592,,,0.008061535953,,,,0.01263044199792,0.007735238374680001,0.0003423164388
8,27-PSI_F505_C1_R4_T4,25.968888888888888,8.173440000000001,19.8,3,0.006,,0.0016255163237795564,,,,,0.002693302562242323,,,0.0084106072035,,,,0.013726571717799998,0.0092531992086,0.0002656639864
7,27-PSI_F505_C1_R4_T5,29.00888888888889,8.6688,21.0,3,0.006,,,,,,,0.0015664967308762295,,,0.0079759556955,,,,0.013944740812839999,0.00885645405981,0.00021655655639999996
