,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Glucose (g/L),Succinate (g/L),Formate (g/L),Ethanol (g/L),Acetate (g/L),Propionate (g/L),Maltose (g/L),Lactate (g/L),psilocybin (g/L),serotonin (g/L),tryptophan (g/L),4-hydroxytryptamine (g/L),psilocin (g/L),Baeocystine (g/L),norbaeocystin (g/L),tryptamine (g/L)
0,27-PSI_F506_C1_R1_T3,22.22972222222222,7.9464,19.25,3,0.008,,,,,,0.00541592519053265,,,0.01601890207416,,,,0.004446353194559999,0.00052543359675,,0.0052542723042
1,27-PSI_F506_C1_R1_T4,25.635555555555555,9.41184,22.8,3,0.006,,,,,,0.005876275772920063,,,0.018795933255880002,,,,0.00630649785897,0.0005434386885,,0.004743833814999999
2,27-PSI_F506_C1_R1_T5,28.6175,9.92784,24.05,3,0.007,,,,,,,,,0.0202257236584,,,,0.007252267549859999,0.000552156147,,0.0037373413882
3,27-PSI_F506_C1_R1_T6,46.195,21.4656,52.0,3,0.008,,0.0011614918018402775,0.010979212431065333,,,,,,0.032241951092199995,,,,0.02170822448745,0.0009451443645,,0.0020175158752
4,27-PSI_F506_C1_R1_T7,49.575,26.254080000000002,63.6,3,0.007,,0.001525476842373124,0.012318524600158162,,,,,,0.03999849175479999,6.785847100000001e-07,1.149125518e-05,2.113022215e-06,0.027015022540799998,0.0012767536755,7.318899967500001e-05,0.0020769398709999994
5,27-PSI_F506_C1_R1_T8,52.41,32.446079999999995,78.6,3,0.008,,0.0012710184410489043,0.010384025025664892,,,,,,0.0520607111622,,,,0.031563691995599996,0.00143453535075,,0.0018640491481999996
7,27-PSI_F506_C1_R1_T9,70.40666666666667,57.792,140.0,3,0.008,,0.004301595076640044,0.025950508092120673,0.0408708331999197,,,,,0.1846087263214,8.4968462e-07,9.902321470000001e-06,2.653634495e-06,0.056076309004499995,0.0057721411125,9.953263309e-05,0.0018270735766000002
9,27-PSI_F506_C1_R1_T10,73.57138888888889,67.36896,163.2,3,0.007,,0.0025919606525277882,0.0207017307748073,,,,,,0.20608025543279998,,,,0.05504480185004999,0.007368219670500001,,0.002039913029
8,27-PSI_F506_C1_R1_T11,76.59361111111112,69.84576,169.2,3,0.007,,0.00262507335740481,0.029310872111846346,,,,,,0.20704318750800002,7.01756325e-07,1.1645645499999999e-05,4.175384055e-06,0.048592685940299994,0.0073453289107500005,0.00010093552953000002,0.0019792281018
6,27-PSI_F506_C1_R1_T12,94.60888888888888,80.2896,194.5,3,0.01,,0.004340311470034739,0.03667493460208322,,,,,,0.235546485745,,,,0.03916970522775,0.008219498679,,0.0016140642909999998
1,27-PSI_F506_C1_R2_T6,46.195,17.17248,41.6,3,0.008,,0.0011686237690445554,0.007465976858677843,,,,,,0.02637029112664,,,,0.015606283567949996,0.0006173722484999999,,0.005297084690399999
2,27-PSI_F506_C1_R2_T7,49.575,20.88768,50.6,3,0.007,,0.000882326228415508,0.0107066289640028,,,,,,0.031616033873239996,1.45108935e-06,1.1156028049999999e-05,2.6675550850000005e-06,,0.000760142925,5.198966145999999e-05,0.0039876146413999995
3,27-PSI_F506_C1_R2_T8,52.41,25.1808,61.0,3,0.008,,,0.010731358185756927,,,,,,0.038042880632599994,,,,0.019658518564499995,0.0009025001572500001,,0.0032937803292000002
4,27-PSI_F506_C1_R2_T9,70.40666666666667,53.16864,128.8,3,0.008,,0.0020208938499562995,0.01879982881080805,,,,,,0.111754952934,5.0942311e-07,1.089993617e-05,3.576622475e-06,0.04331007381014999,0.00411224892075,0.000112537734155,0.0020800673654
6,27-PSI_F506_C1_R2_T10,73.57138888888889,54.32448,131.6,3,0.007,,0.009489082365297772,0.02168752747836956,,,,,,0.143325898755,,,,0.047360991245850005,0.005252106611250001,,0.0021244338856
5,27-PSI_F506_C1_R2_T11,76.59361111111112,57.95712,140.4,3,0.007,,0.002963332373379347,0.028193560910773467,,,,,,0.16405936754839995,6.677477949999999e-07,1.139374013e-05,5.609733455e-06,0.0437826287547,0.0058555514632500005,0.000131186572825,0.0020129223678
0,27-PSI_F506_C1_R2_T12,94.60888888888888,81.528,197.5,3,0.01,,0.0035642006103401413,0.03522565233321988,,,,,,0.023867716621,,,,0.0017948590136099998,0.00053251889625,,0.00012756235739999999
8,27-PSI_F506_C1_R2_T13,97.65,75.1296,182.0,3,0.008,,0.0038021026592258617,0.041220240497527275,,,,,,0.45359711876399994,,,,0.062023176076049985,0.01797029487675,,0.0028155524688000004
7,27-PSI_F506_C1_R2_T14,99.66416666666667,77.1936,187.0,3,0.008,,0.0050346594199945065,0.037233215517441395,,,,,,0.3929725770466,,,,0.062354915428049995,0.016817798763000002,,0.002663481258
0,27-PSI_F506_C1_R3_T4,25.635555555555555,8.85456,21.45,3,0.006,,0.001389205326148438,,,,0.00929694059872637,,,0.01827796641896,,,,0.00589885474563,0.00054499248225,,0.004554750181999999
1,27-PSI_F506_C1_R3_T5,28.6175,9.45312,22.9,3,0.007,,,,,,,,,0.02197890187628,,,,0.0075129158124,0.0005839967587500002,,0.004105084740999999
2,27-PSI_F506_C1_R3_T6,46.195,21.91968,53.1,3,0.008,,0.0013494700802960064,,,,,,,0.032069523828999996,,,,0.02145055452525,0.000921078126,,0.0020810206744
3,27-PSI_F506_C1_R3_T7,49.575,29.80416,72.2,3,0.007,,0.0015606272521656562,0.014087225983345431,,,,,,0.0396597344338,6.227261399999999e-07,1.275343689e-05,2.9357467049999996e-06,0.026691975004949995,0.00121871204775,3.3199534004999994e-05,0.0022378920764
4,27-PSI_F506_C1_R3_T8,52.41,31.455360000000002,76.2,3,0.008,,0.00184565122722252,0.013000826309465235,,,,,,0.0493587679888,,,,0.033632109325350004,0.0014974977757499998,,0.0022755742181999996
5,27-PSI_F506_C1_R3_T9,70.40666666666667,59.112959999999994,143.2,3,0.008,,0.002914682168521562,0.016302177413641195,,,,,,0.1584303820428,4.4325625500000003e-07,1.4720279709999999e-05,2.9782133149999994e-06,0.04814281551239999,0.0051200665695,8.4170584025e-05,0.001763092924
7,27-PSI_F506_C1_R3_T10,73.57138888888889,61.424640000000004,148.8,3,0.007,,0.003000011061858508,0.02507767896975345,,,,,,0.240802234162,,,,0.059610191049899994,0.008494095919499999,,0.0023280654946
6,27-PSI_F506_C1_R3_T11,76.59361111111112,63.07584000000001,152.8,3,0.007,,0.0027621090129728108,0.027013302599781252,,,,,,0.2153731070924,8.552352350000001e-07,1.938956579e-05,4.895113800000001e-06,0.049464257549399995,0.00793427348925,9.75520282e-05,0.0018694597776
8,27-PSI_F506_C1_R3_T12,94.60888888888888,81.528,197.5,3,0.01,,0.005044083805228751,0.03932733097780222,,,0.0031462897610876972,,,0.5045422829522,,,,0.06498448090244999,0.01808721582975,,0.0028725170876
0,27-PSI_F506_C1_R4_T4,25.635555555555555,8.648159999999999,20.95,3,0.006,,,,,,0.007615513920066145,,,0.018343793497119995,,,,0.005507467677629999,0.0005695559347500001,,0.0045700079326
1,27-PSI_F506_C1_R4_T5,28.6175,9.04032,21.9,3,0.007,,,,,,,,,0.02112176839548,,,,0.0069005584693799995,0.0006105220447500001,,0.0038017289995999994
2,27-PSI_F506_C1_R4_T6,46.195,21.01152,50.9,3,0.008,,0.0008807979497288787,0.009630907817698256,,,,,,0.032135257104,,,,0.0185970956292,0.00111146514975,,0.00205209776
3,27-PSI_F506_C1_R4_T7,49.575,26.66688,64.6,3,0.007,,0.001031078687247686,0.009430263904829551,,,,,,0.040546998626599995,6.5673467e-07,1.129499976e-05,4.326748445000001e-06,0.023788632642300002,0.001432862658,5.100409853e-05,0.002161511998
4,27-PSI_F506_C1_R4_T8,52.41,29.969279999999998,72.6,3,0.008,,0.0017768786863240737,0.01623023785944739,,,,,,0.05645004527059999,,,,0.029432062385999998,0.00171381288825,,0.0021685264296
5,27-PSI_F506_C1_R4_T9,70.40666666666667,62.7456,152.0,3,0.008,,0.0026642991770283613,0.02689302865761335,,,,,,0.1671318900542,6.98232125e-07,1.012042843e-05,5.519161515000001e-06,0.04098723445889999,0.005985062199,7.757228247999998e-05,0.0019310018818
7,27-PSI_F506_C1_R4_T10,73.57138888888889,61.92,150.0,3,0.007,,0.0021584389317531923,0.02730330892762505,,,,,,0.185994042656,,,,0.04016399384159999,0.0072874305022499995,,0.0021205709814
6,27-PSI_F506_C1_R4_T11,76.59361111111112,66.37824,160.8,3,0.007,,0.003516059831711237,0.02861845390273076,,,,,,0.2128342392914,6.9743918e-07,1.14761429e-05,4.650446215e-06,0.0434059901973,0.00836326108125,9.774353022499999e-05,0.0020993017764
8,27-PSI_F506_C1_R4_T12,94.60888888888888,82.9728,201.0,3,0.01,,0.005517086058741321,0.04249941569553612,,,,,,0.45196967657579995,,,,0.06318824713155,0.0164968525305,,0.0034261669107999997
