,FermID,Product,Substrate,Phase,Yield (g/g),Yield (mol/mol),R²,Std Error,biomass growth rate,ri,,,,,,,,
0,27-PSI_F503_C1_R1,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,8.803377175154472e-08,1.229005609833721e-08,0.6527870164644259,6.420391833338975e-08,0.04922648,4.333592728267177e-09,,,,,,,,
1,27-PSI_F503_C1_R1,Acetate (pseudo),Biomass (pseudo),3,3.43163774252171e-05,1.429849059384046e-05,0.9330172891681712,6.501640499468518e-06,0.04922648,1.6892744762782844e-06,,,,,,,,
2,27-PSI_F503_C1_R1,Baeocystine (pseudo),Biomass (pseudo),3,6.596463342167426e-05,6.005106789428021e-06,0.9000369297389016,7.772411547888863e-06,0.04922648,3.247206725684357e-06,,,,,,,,4.33359E-09
3,27-PSI_F503_C1_R1,Ethanol (pseudo),Biomass (pseudo),3,0.000122612,6.547102839864566e-05,0.8230941170618772,3.281844726086196e-05,0.04922648,6.035747350282771e-06,,,,,,,,
4,27-PSI_F503_C1_R1,Formate (pseudo),Biomass (pseudo),3,0.000451394,0.000246669,0.9471953327345836,3.768144784866093e-05,0.04922648,2.2220558938164087e-05,,,,,,,,
5,27-PSI_F503_C1_R1,Glucose (pseudo),Biomass (pseudo),3,,,,,0.04922648,,,,,,,,,
6,27-PSI_F503_C1_R1,Lactate (pseudo),Biomass (pseudo),3,,,,,0.04922648,,,,,,,,,
7,27-PSI_F503_C1_R1,Maltose (pseudo),Biomass (pseudo),3,,,,,0.04922648,,,,,,,,,
8,27-PSI_F503_C1_R1,Propionate (pseudo),Biomass (pseudo),3,,,,,0.04922648,,,,,,,,,
9,27-PSI_F503_C1_R1,Succinate (pseudo),Biomass (pseudo),3,,,,,0.04922648,,,,,,,,,
10,27-PSI_F503_C1_R1,norbaeocystin (pseudo),Biomass (pseudo),3,1.1653797742615972e-06,1.119026599275354e-07,0.9692091523924272,2.0771580605757306e-07,0.04922648,5.736754446535554e-08,,,,,,,,
11,27-PSI_F503_C1_R1,psilocin (pseudo),Biomass (pseudo),3,0.000877044,0.00010562,0.9096066662170464,9.77502151722197e-05,0.04922648,4.317378409826976e-05,,,,,,,,
12,27-PSI_F503_C1_R1,psilocybin (pseudo),Biomass (pseudo),3,0.005626298,0.000486916,0.904710941,0.000645571,0.04922648,0.000276963,,,,,,,,
13,27-PSI_F503_C1_R1,serotonin (pseudo),Biomass (pseudo),3,1.1552995617845678e-08,1.612869259400736e-09,0.883916965,4.1867135769337735e-09,0.04922648,5.687133108473238e-10,,,,,,,,
14,27-PSI_F503_C1_R1,tryptamine (pseudo),Biomass (pseudo),3,6.394936268609641e-06,9.81871378153771e-07,0.5951993296914836,1.8645782844680824e-06,0.04922648,3.148002040579671e-07,,,,,,,,
15,27-PSI_F503_C1_R1,tryptophan (pseudo),Biomass (pseudo),3,9.200300917303088e-08,1.1082528771210264e-08,0.999515575,2.025445881186349e-09,0.04922648,4.528984315884989e-09,,,,,,,,
16,27-PSI_F503_C1_R2,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,1.4822143783990917e-07,2.069262454379301e-08,0.9981196340316943,6.433405319130524e-09,0.051629248,7.652561442779237e-09,,,,,,,,
17,27-PSI_F503_C1_R2,Acetate (pseudo),Biomass (pseudo),3,,,,,0.051629248,,,,,,,,,
18,27-PSI_F503_C1_R2,Baeocystine (pseudo),Biomass (pseudo),3,6.542811998000656e-05,5.956265154993658e-06,0.8576335119423031,8.03750235915345e-06,0.051629248,3.378004663355915e-06,,,,,,,,
19,27-PSI_F503_C1_R2,Ethanol (pseudo),Biomass (pseudo),3,3.247029113718652e-07,1.7338162838610558e-07,7.126564362623934e-05,1.5702000103210063e-05,0.051629248,1.6764167290066966e-08,,,,,,,,
